FID;field_1;field_2;x;y
344;311579.252105425;4617878.36336642;311579;4617880
345;299285.857368089;4627325.97008565;299286;4627330
346;305152.155527586;4601248.48855157;305152;4601250
347;301377.516300953;4602742.75231755;301378;4602740
348;316684.085187578;4598196.27989783;316684;4598200
349;315311.639967265;4597779.51173404;315312;4597780
350;310092.611060921;4616472.31768296;310093;4616470
351;312070.300775924;4600440.4390033;312070;4600440
352;314207.136908684;4624523.72375638;314207;4624520
353;304981.45192444;4614246.81495596;304981;4614250
354;311025.617017954;4598994.29093602;311026;4598990
355;300514.497238832;4603051.43237226;300514;4603050
356;311104.401657017;4598909.17517978;311104;4598910
357;293173.35343828;4607151.0434683;293173;4607150
358;310700.694811266;4601801.04889215;310701;4601800
359;282043.021808484;4594875.71895565;282043;4594880
360;317290.111237861;4596428.0181042;317290;4596430
361;288996.167928371;4601973.31160614;288996;4601970
362;306386.712587277;4612623.87895787;306387;4612620
363;313228.963821275;4597597.7672116;313229;4597600
364;299899.466756092;4619679.84556548;299899;4619680
365;287709.840507565;4609112.92262386;287710;4609110
366;304916.159125371;4614060.96024324;304916;4614060
367;305077.434112987;4614395.95334614;305077;4614400
368;315281.286456421;4603929.12737943;315281;4603930
369;296418.7556061;4613843.29632028;296419;4613840
370;291087.561195952;4602686.38478418;291088;4602690
371;297548.04938007;4606683.24888676;297548;4606680
372;312488.241084186;4618509.97460059;312488;4618510
373;296771.440219982;4606074.55787969;296771;4606070
374;299644.872948987;4595022.13721813;299645;4595020
375;292143.962401039;4607260.18362602;292144;4607260
376;312830.986831162;4618893.88833448;312831;4618890
377;313745.653420567;4623755.50105152;313746;4623760
378;314052.327169983;4604712.25802661;314052;4604710
379;315174.73820069;4612069.82735966;315175;4612070
380;296814.498684213;4612971.58913013;296814;4612970
381;286941.895505084;4601562.96799427;286942;4601560
382;289165.836131676;4602065.51710468;289166;4602070
383;291523.773201025;4604447.27763315;291524;4604450
384;292062.082464012;4605418.12481582;292062;4605420
385;292622.77574857;4606412.86676029;292623;4606410
386;293502.239389384;4607654.08792253;293502;4607650
387;295124.93365152;4609270.40066269;295125;4609270
388;296469.157666857;4612627.88762465;296469;4612630
389;297821.941437864;4613851.58038715;297822;4613850
390;298770.551701605;4614604.82919868;298771;4614600
391;300411.580249617;4615016.44074902;300412;4615020
392;300942.671746748;4615106.95170779;300943;4615110
393;302992.909837389;4615175.23781261;302993;4615180
394;305079.368233329;4614272.03417421;305079;4614270
395;307479.700996101;4611870.87923848;307480;4611870
396;307569.065957387;4611811.55530083;307569;4611810
397;314982.204874164;4612100.96349154;314982;4612100
398;293939.28966233;4615331.51184695;293939;4615330
399;291528.40004625;4617076.47394994;291528;4617080
400;290786.56836031;4618377.98012136;290787;4618380
401;287403.965380246;4599423.15816206;287404;4599420
402;288810.198704356;4600306.34499228;288810;4600310
403;289812.938499892;4601668.83606508;289813;4601670
404;292319.381654176;4601746.31946132;292319;4601750
405;292513.534557559;4601692.69151517;292514;4601690
406;295488.698871583;4601724.19724728;295489;4601720
407;298516.993696829;4602656.52716311;298517;4602660
408;301359.899688125;4602752.5361954;301360;4602750
409;305552.935466418;4601263.4152445;305553;4601260
410;310252.789403737;4599570.65778858;310253;4599570
411;310512.869332131;4599419.43645313;310513;4599420
412;310478.476236854;4599442.14832486;310478;4599440
413;311159.46456499;4598846.03778622;311159;4598850
414;311610.035959881;4598304.90287049;311610;4598300
415;312432.22793521;4597693.35889075;312432;4597690
416;298219.549913283;4588078.0927636;298220;4588080
417;297643.56742354;4591892.68800631;297644;4591890
418;300735.526754735;4596178.42518074;300736;4596180
419;301876.120877322;4599060.33398411;301876;4599060
420;302537.773689495;4601022.90524897;302538;4601020
421;301795.850629816;4603495.58507769;301796;4603500
422;304522.438773111;4613101.76327325;304522;4613100
423;304812.713438411;4613746.5221179;304813;4613750
424;305173.375361251;4614503.84632117;305173;4614500
425;305374.66936612;4614737.97508508;305375;4614740
426;306215.557484215;4616174.26383501;306216;4616170
427;306619.234582791;4616628.64117008;306619;4616630
428;308660.416816605;4617527.32918164;308660;4617530
429;308734.626896035;4617601.29893254;308735;4617600
430;310453.650626219;4620527.19719595;310454;4620530
431;315756.337438477;4626132.6342687;315756;4626130
432;315847.098573039;4626189.18271995;315847;4626190
433;316338.362185285;4626772.77542422;316338;4626770
434;316568.093908969;4627223.84242909;316568;4627220
435;305659.975352802;4611639.29330717;305660;4611640
436;311252.413413848;4617394.77569452;311252;4617400
437;311344.196246466;4617570.12465719;311344;4617570
438;314276.86353592;4621007.64892871;314277;4621010
439;317895.049900255;4625233.4372734;317895;4625230
440;296357.29787652;4596693.45912001;296357;4596690
441;313979.671698497;4596627.0916814;313980;4596630
442;305535.43242166;4588238.89936578;305535;4588240
443;301775.051012111;4592663.3277719;301775;4592660
444;303281.81394683;4590594.88361;303282;4590600
445;308333.501183996;4602885.27404284;308334;4602890
446;310597.52280591;4601846.78833097;310598;4601850
447;313267.654316891;4597497.69330987;313268;4597500
448;288888.732913791;4624681.50313879;288889;4624680
449;289592.08256276;4625268.51317775;289592;4625270
450;312889.784422895;4611444.26862352;312890;4611440
451;312500.273305852;4611155.72262816;312500;4611160
452;312278.195326936;4610971.23950782;312278;4610970
453;311466.40491131;4610926.18114943;311466;4610930
454;310002.609144018;4610734.64471902;310003;4610730
455;302103.27519158;4607245.60148181;302103;4607250
456;288499.542924779;4597277.37110821;288500;4597280
457;287127.510824143;4595927.04008894;287128;4595930
458;284515.773197086;4593965.02368926;284516;4593960
459;280719.564793612;4590980.04083502;280720;4590980
460;280971.006366627;4591145.01915866;280971;4591140
461;292130.018406946;4603054.22636917;292130;4603050
462;302682.291070292;4615063.49327225;302682;4615060
463;302931.083790588;4617323.00452459;302931;4617320
464;302957.859898864;4617530.63137466;302958;4617530
465;302994.887493954;4617826.08717346;302995;4617830
466;303684.383809164;4621436.63430304;303684;4621440
467;304515.21563965;4624003.4522061;304515;4624000
468;303007.692834316;4619088.99996335;303008;4619090
469;300865.237733387;4614805.67325986;300865;4614810
470;300520.888619025;4616246.46581378;300521;4616250
471;300290.572102617;4617949.36432363;300291;4617950
472;299964.339885958;4619194.2770804;299964;4619190
473;299901.229423096;4620669.38798655;299901;4620670
474;299264.224699399;4624146.00122138;299264;4624150
475;299302.62747106;4625077.61520147;299303;4625080
476;299197.739469159;4625969.27584141;299198;4625970
477;299171.029367289;4626752.19162075;299171;4626750
478;299164.662678386;4626941.28920016;299165;4626940
479;315270.751613041;4603935.84626727;315271;4603940
480;314698.833503444;4604302.69108084;314699;4604300
481;313187.769426937;4605148.5393644;313188;4605150
482;312828.885595522;4605319.5696606;312829;4605320
483;312667.266294888;4605396.62829768;312667;4605400
484;310059.199565719;4606728.37395838;310059;4606730
485;310076.854414858;4606718.49474601;310077;4606720
486;309147.379176824;4607210.04763939;309147;4607210
487;289726.476564797;4619679.42715116;289726;4619680
488;296203.877361268;4605664.87227079;296204;4605660
489;297235.656369691;4606436.80823258;297236;4606440
490;312174.241921802;4610946.87731363;312174;4610950
491;313905.899995138;4610943.86008554;313906;4610940
492;316875.765858823;4610718.35081843;316876;4610720
